,logtype,@timestamp,system,hostname,loghost,envname,procname,procid,module,keywname,keywvalue,keymask,logtext,errstack,errstackidx,errlocation,errseverity,csvfile
259,LOG,2018-01-29T03:04:56.778Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T03:04:56,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
260,LOG,2018-01-29T03:04:56.778Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,(OBS.NAME: M05_HD44893_MED_SPLIT // OBS.ID: 200429030),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
261,LOG,2018-01-29T02:58:29.607Z,GRAVITY,wgv,wgv,wgv,bob_23983,123,seq,,,,OB started at 2018-01-29T02:58:29,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-28.csv
262,LOG,2018-02-03T10:34:16.648Z,GRAVITY,wgv,wgv,wgv,bob_ins,77,seq,,,,OB finished (TERMINATED) in 3213 seconds at 2018-02-03T10:34:16,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
263,LOG,2018-01-28T00:23:44.758Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB paused at 2018-01-28T00:23:44,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
264,LOG,2018-01-28T00:53:37.570Z,GRAVITY,wgv,wgv,wgv,bob_44345,166,seq,,,,OB continued at 2018-01-28T00:53:37,0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-27.csv
265,LOG,2018-01-27T05:19:03.217Z,GRAVITY,wgv,wgv,wgv,bob_901,189,seq,,,,(OBS.NAME: SCI_RCar // OBS.ID: 1818547),0,0,,,/datalake/processeddata/csv-vltlogs/2018/01/log_wgv.2018-01-26.csv
266,LOG,2018-02-05T18:16:57.844Z,GRAVITY,wgv,wgv,wgv,bob_22151,242,seq,,,,(OBS.NAME: Calibration // OBS.ID: -1),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-05.csv
267,LOG,2018-02-03T07:38:39.856Z,GRAVITY,wgv,wgv,wgv,bob_46646,28,seq,,,,OB started at 2018-02-03T07:38:39,0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
268,LOG,2018-02-03T07:38:39.856Z,GRAVITY,wgv,wgv,wgv,bob_46646,28,seq,,,,(OBS.NAME: B02_HD111862_MED_SPLIT // OBS.ID: 200426249),0,0,,,/datalake/processeddata/csv-vltlogs/2018/02/log_wgv.2018-02-02.csv
